time,euclid,smaple0.1,smaple0.01,fs,real
,,6.1866898,5.3359125,,6.5544694
,,6.1588328,5.2247001,,6.7043303
,,6.1919972,5.2998806,,6.5258602
,,6.2338776,5.0246224,,6.4098753
,,5.9788499,5.4426794,,6.2917367
,,6.0878031,4.9746241,,6.4878832
,,6.3338899,5.4614064,,6.5582793
,,6.0802832,5.054991,,6.3853849
,,5.9664876,4.6739531,,6.2515542
,,6.0212298,5.3344994,,6.2916485
,,6.1085081,4.8874869,,6.4395137
,,6.3031286,4.9725809,,6.5818507
,,6.2030237,5.4718302,,6.5597118
,,6.1382892,5.1440182,,6.4566221
,,6.2519722,4.7971222,,6.5086108
,,6.126302,4.881227,,6.434644
,,5.9936363,5.0206873,,6.3789012
,,6.1611212,4.9671463,,6.5844401
,,6.2004592,5.1147056,,6.5590742
,,6.1784746,5.385008,,6.5015041
,,6.3345625,5.2978709,,6.4849208
,,5.954195,5.3314671,,6.4416018
,,6.0624413,4.7132038,,6.3888482
,,6.2883068,5.1542467,,6.5617592
,,6.1304172,5.3210432,,6.6247909
,,6.1628821,5.2918925,,6.5920997
,,6.1226923,5.0704569,,6.4958884
,,6.3115039,5.3754871,,6.5558279
,,,,,6.3711836
,,,,,
