time,euclid,sample0.1,sample0.01,fs-entropy,real-entropy,real-alarm
,,,,6.8125,6.5544694,
,,,,6.9375,6.7043303,
,,,,6.75,6.5258602,
,,,,6.625,6.4098753,
,,,,6.5,6.2917367,
,,,,6.8125,6.4878832,
,,,,6.8125,6.5582793,
,,,,6.75,6.3853849,
,,,,6.5625,6.2515542,
,,,,6.5,6.2916485,
,,,,6.625,6.4395137,
,,,,6.8125,6.5818507,
,,,,6.75,6.5597118,
,,,,6.625,6.4566221,
,,,,6.75,6.5068725,
,,,,6.75,6.4670707,
,,,,6.6875,6.4362341,
,,,,6.8125,6.5721293,
,,,,6.9375,6.6031361,
,,,,6.875,6.5691867,
,,,,7.125,6.6216999,
,,,,6.75,6.4351322,
,,,,6.6875,6.4038616,
,,,,7.0,6.6310324,
,,,,6.9375,6.6091909,
,,,,6.875,6.6186646,
,,,,6.6875,6.4396336,
,,,,7.0,6.579464,
,,,,6.75,6.3581918,
,,,,,,
