time,euclid,sample0.1,sample0.01,fs-entropy,real-entropy,real-alarm-20-4,sample0.1-20-4,sample0.1-20-1
,,6.2222854,,,6.5544694,0,0,
,,6.1868274,,,6.7043303,0,0,
,,6.1937147,,,6.5258602,0,0,
,,6.2188554,,,6.4098753,0,0,
,,5.973132,,,6.2917367,0,1,
,,6.1631542,,,6.4878832,0,0,
,,6.1524887,,,6.5582793,0,0,
,,5.9367574,,,6.3853849,0,1,
,,5.8454023,,,6.2515542,0,1,
,,5.9131549,,,6.2916485,0,1,
,,6.0061738,,,6.4395137,0,0,
,,6.3043389,,,6.5818507,0,0,
,,6.2370606,,,6.5597118,0,0,
,,6.2199313,,,6.4566221,0,0,
,,6.0477376,,,6.4092703,0,0,
,,5.6681399,,,5.9493072,1,1,
,,5.5615978,,,5.7823463,1,1,
,,5.5421993,,,5.9571686,1,1,
,,5.8433125,,,6.0552231,0,1,
,,5.6834322,,,5.9083335,1,1,
,,5.7674035,,,5.9719702,1,1,
,,5.6850411,,,5.9446225,1,1,
,,5.590058,,,5.9970081,1,1,
,,5.5564101,,,5.842794,1,1,
,,6.0781752,,,6.2793608,0,0,
,,6.2688569,,,6.6646836,0,0,
,,6.3779696,,,6.5497198,0,0,
,,6.3232075,,,6.6243613,0,0,
,,6.2416506,,,6.573695,0,0,
