time,euclid,sample0.1,sample0.01,fs-entropy,real-entropy,real-alarm,sample0.1-0.08-4,sample0.1-0.08-3,sample0.1-0.08-2,sample0.1-0.08-1
,,6.1138627,,,6.5544694,0,0,0,0,0
,,6.3698298,,,6.7043303,0,0,0,0,0
,,6.2124054,,,6.5258602,0,0,0,0,0
,,6.1058463,,,6.4098753,0,0,0,0,1
,,6.0928477,,,6.2917367,0,0,0,0,1
,,6.0889331,,,6.4878832,0,0,0,0,1
,,6.3557031,,,6.5582793,0,0,0,0,0
,,6.1435793,,,6.3853849,0,0,0,0,0
,,5.9217222,,,6.2515542,0,1,1,1,1
,,5.8398099,,,6.2916485,0,1,1,1,1
,,6.1350596,,,6.4395137,0,0,0,0,0
,,6.35272,,,6.5818507,0,0,0,0,0
,,6.2211839,,,6.5597118,0,0,0,0,0
,,6.072388,,,6.4566221,0,0,0,0,1
,,5.9723919,,,6.4092703,0,0,1,1,1
,,5.5680028,,,5.9493072,1,1,1,1,1
,,5.5519566,,,5.7823463,1,1,1,1,1
,,5.6482441,,,5.9571686,1,1,1,1,1
,,5.752371,,,6.0552231,1,1,1,1,1
,,5.6533743,,,5.9083335,1,1,1,1,1
,,5.6097055,,,5.9719702,1,1,1,1,1
,,5.401688,,,5.9446225,1,1,1,1,1
,,5.5955313,,,5.9970081,1,1,1,1,1
,,5.4052496,,,5.842794,1,1,1,1,1
,,6.0164824,,,6.2793608,0,0,0,1,1
,,6.2667428,,,6.6646836,0,0,0,0,0
,,6.1773863,,,6.5497198,0,0,0,0,0
,,6.3794112,,,6.6243613,0,0,0,0,0
,,6.2832958,,,6.573695,0,0,0,0,0
